compound,molecular_mass_grams,ion_a,coeff_a,ion_b,coeff_b,ion_c,coeff_c
BaSO4,233.3896,Ba,1,SO4,1,,
MnSO4*H2O,169.015645,Mn,1,SO4,1,,
NaBH4,37.83252928,Na,1,B,1,H,4
FeSO4*7H2O,278.0126,Fe,1,SO4,1,H2O,7
NiCl2,129.5994,Ni,1,Cl,2,,
AlCl3,133.3405385,Al,1,Cl,3,,
As2O3,197.8414,As,2,O,3,,
ZnSO4*7H2O,222.1676,Zn,1,SO4,1,H2O,7
Na2MoO4*2H2O,241.9671386,Na,2,Mo,1,O,4
HK2PO4,174.175902,H,1,K,2,PO4,1
NaBr,102.8937693,Na,1,Br,1,,
LiCl,42.394,Li,1,Cl,1,,
MgSO4*7H2O,246.4726,Mg,1,SO4,1,H2O,7
NH4Cl,53.49146,NH4,1,Cl,1,,
NaSO4,119.0523693,Na,1,SO4,1,,
NaCl,58.44276928,Na,1,Cl,1,,
NaF,41.98817248,Na,1,F,1,,
NaHCO3,82.99866928,Na,1,H,1,CO3,1
CaCl2*2H2O,147.014,Ca,1,Cl,2,H2O,2